CustomerID,recency,frequency,monetary,avg_order_value,target_60day_revenue
12346,265,1,77183.6,77183.6,0.0
12347,69,5,2790.86,558.172,1519.14
12348,14,4,1797.24,449.31,0.0
12350,249,1,334.4,334.4,0.0
12352,11,7,2194.31,313.47285714285715,311.73
12353,143,1,89.0,89.0,0.0
12354,171,1,1079.4,1079.4,0.0
12355,153,1,459.4,459.4,0.0
12356,185,2,2753.08,1376.54,58.349999999999994
12358,90,1,484.86,484.86,683.2
12359,129,3,3495.73,1165.2433333333333,2876.85
12360,52,2,1618.28,809.14,1043.78
12361,226,1,189.9,189.9,0.0
12362,12,5,2577.34,515.4680000000001,2648.89
12363,49,2,552.0,276.0,0.0
12364,17,2,703.72,351.86,609.38
12365,230,2,641.38,320.69,0.0
12370,214,3,2806.41,935.4699999999999,739.28
12372,11,3,1298.04,432.68,0.0
12373,250,1,364.6,364.6,0.0
12375,37,1,230.3,230.3,227.20000000000002
12377,254,2,1628.12,814.06,0.0
12378,69,1,4008.62,4008.62,0.0
12379,21,2,852.24,426.12,0.0
12380,17,2,1233.56,616.78,1491.25
12381,59,1,1268.74,1268.74,576.57
12383,124,5,1850.56,370.11199999999997,0.0
12384,61,1,292.69,292.69,292.58
12386,277,2,401.9,200.95,0.0
12388,15,5,2494.26,498.85200000000003,286.4
12390,19,1,549.84,549.84,0.0
12393,11,4,1582.6000000000001,395.65000000000003,0.0
12394,3,2,1272.48,636.24,0.0
12395,5,9,2246.25,249.58333333333334,772.38
12397,74,1,1214.81,1214.81,1195.09
12399,58,4,1108.65,277.1625,0.0
12401,242,1,84.3,84.3,0.0
12402,262,1,225.6,225.6,0.0
12405,88,1,1710.39,1710.39,0.0
12406,123,1,1621.25,1621.25,1794.05
12407,73,4,1407.3600000000001,351.84000000000003,300.76
12408,38,4,2134.0499999999997,533.5124999999999,754.5
12409,18,3,11072.67,3690.89,0.0
12410,248,2,693.3299999999999,346.66499999999996,0.0
12412,14,3,1226.88,408.96000000000004,0.0
12413,6,3,758.1,252.70000000000002,0.0
12414,156,3,562.41,187.47,0.0
12415,5,17,118559.65,6974.097058823529,6354.88
12417,46,7,2816.52,402.36,832.58
12418,52,1,668.58,668.58,0.0
12420,3,1,600.39,600.39,0.0
12421,54,3,628.56,209.51999999999998,178.48
12422,35,3,803.5600000000001,267.85333333333335,0.0
12423,40,7,1650.67,235.81,208.64000000000001
12424,102,2,1760.96,880.48,0.0
12425,17,1,777.2,777.2,0.0
12426,134,1,582.73,582.73,0.0
12427,311,1,303.5,303.5,522.3
12428,59,8,7548.12,943.515,408.34000000000003
12429,112,3,2844.88,948.2933333333334,905.52
12431,4,13,5553.33,427.17923076923074,934.1200000000001
12432,109,3,4016.66,1338.8866666666665,1042.66
12433,30,3,6395.23,2131.7433333333333,6980.64
12434,24,2,806.14,403.07,0.0
12435,19,2,7829.89,3914.945,0.0
12436,39,1,509.01,509.01,0.0
12437,17,12,3034.0099999999998,252.83416666666665,1917.4
12438,79,1,890.0699999999999,890.0699999999999,2016.78
12441,306,1,173.55,173.55,0.0
12444,25,3,3189.81,1063.27,1815.65
12447,182,1,476.49,476.49,0.0
12449,31,3,2724.58,908.1933333333333,1342.71
12450,95,2,197.88,98.94,0.0
12451,4,3,7847.38,2615.7933333333335,1188.14
12453,73,1,707.09,707.09,0.0
12455,12,6,2466.86,411.1433333333334,0.0
12456,70,2,2265.4,1132.7,915.64
12457,5,7,2363.23,337.6042857142857,0.0
12458,10,2,947.4,473.7,0.0
12461,33,2,826.88,413.44,0.0
12462,242,1,762.11,762.11,427.48
12463,114,3,985.79,328.59666666666664,358.99
12464,45,6,780.55,130.09166666666667,431.5
12465,108,1,440.94,440.94,301.25
12468,127,2,729.5400000000001,364.77000000000004,0.0
12471,5,23,14165.539999999999,615.8930434782608,5658.51
12472,78,5,4927.6,985.5200000000001,1644.51
12473,54,2,1186.25,593.125,2752.2999999999997
12474,38,13,4362.06,335.54307692307697,3013.73
12476,24,7,3725.27,532.1814285714286,3091.15
12477,3,4,9893.27,2473.3175,3326.4700000000003
12480,82,3,2144.95,714.9833333333332,1136.6799999999998
12481,5,9,5409.5199999999995,601.0577777777777,186.79999999999998
12483,38,6,1624.06,270.6766666666667,860.9200000000001
12484,40,4,3663.15,915.7875,878.57
12488,15,1,553.39,553.39,745.27
12489,275,1,334.93,334.93,0.0
12490,32,6,3552.59,592.0983333333334,1865.3400000000001
12492,2,2,263.21000000000004,131.60500000000002,0.0
12493,105,2,433.74,216.87,0.0
12494,101,5,868.86,173.772,377.24
12497,21,1,1043.1,1043.1,0.0
12500,4,7,1924.0900000000001,274.87,2333.73
12501,276,1,2169.39,2169.39,0.0
12502,35,5,3723.87,744.774,0.0
12506,172,1,73.5,73.5,0.0
12507,73,3,1304.81,434.93666666666667,0.0
12509,223,1,176.5,176.5,0.0
12510,82,2,982.5699999999999,491.28499999999997,0.0
12512,5,2,138.03,69.015,0.0
12513,52,1,612.29,612.29,0.0
12514,206,1,1017.68,1017.68,0.0
12515,292,1,383.7,383.7,0.0
12516,17,2,1312.06,656.03,0.0
12517,13,3,1955.9,651.9666666666667,546.94
12518,16,2,849.73,424.865,1207.16
12519,3,1,340.84,340.84,0.0
12520,18,5,2634.26,526.8520000000001,0.0
12521,82,1,599.68,599.68,0.0
12523,3,9,1299.13,144.3477777777778,490.64
12524,3,7,4177.92,596.8457142857143,307.79999999999995
12526,33,1,520.3,520.3,796.36
12527,21,3,348.71000000000004,116.23666666666668,0.0
12528,3,5,1561.88,312.37600000000003,371.6
12530,63,3,1221.65,407.2166666666667,440.63
12534,70,1,1089.18,1089.18,0.0
12535,31,2,716.35,358.175,0.0
12539,201,3,4517.69,1505.8966666666665,1050.66
12540,3,14,10918.789999999999,779.9135714285713,2481.45
12541,112,2,536.14,268.07,445.03999999999996
12545,14,2,1000.39,500.195,0.0
12546,17,1,760.2,760.2,401.3
12547,137,2,207.79999999999998,103.89999999999999,0.0
12548,105,1,95.19999999999999,95.19999999999999,0.0
12550,18,1,964.83,964.83,0.0
12551,297,1,168.0,168.0,0.0
12553,49,7,2419.59,345.6557142857143,1272.69
12556,90,1,312.9,312.9,290.81
12557,97,4,9000.960000000001,2250.2400000000002,2990.0
12559,250,2,561.71,280.855,0.0
12560,51,2,1436.31,718.155,697.7
12561,242,1,238.85,238.85,0.0
12562,21,4,1993.8700000000001,498.46750000000003,1787.8700000000001
12564,200,1,456.9,456.9,0.0
12565,228,1,145.92,145.92,0.0
12566,25,1,351.65,351.65,0.0
12567,35,9,7849.98,872.2199999999999,1551.3
12569,3,17,2565.48,150.9105882352941,1559.21
12571,61,1,248.35,248.35,271.26
12573,166,1,160.54000000000002,160.54000000000002,0.0
12574,255,1,218.45,218.45,0.0
12576,35,4,936.55,234.1375,379.28
12577,298,1,195.89,195.89,461.91
12578,269,1,1608.66,1608.66,1185.85
12579,17,1,440.42,440.42,0.0
12580,186,1,415.7,415.7,0.0
12582,178,2,511.36,255.68,0.0
12583,9,11,5100.24,463.6581818181818,2181.14
12584,19,5,1062.39,212.478,1275.76
12585,173,2,2040.1,1020.05,0.0
12589,84,1,131.5,131.5,515.1800000000001
12590,150,2,9864.26,4932.13,0.0
12591,256,1,452.84999999999997,452.84999999999997,0.0
12592,31,2,437.6,218.8,0.0
12593,48,3,418.09999999999997,139.36666666666665,0.0
12594,60,8,2529.9,316.2375,808.32
12596,181,1,269.95,269.95,348.32
12597,122,2,1428.81,714.405,2382.41
12598,10,5,1946.1399999999999,389.22799999999995,1076.94
12599,66,6,857.04,142.84,175.54000000000002
12600,23,9,2219.46,246.60666666666668,379.58000000000004
12601,129,5,577.0600000000001,115.412,0.0
12604,18,2,254.18,127.09,0.0
12609,17,3,1126.85,375.6166666666666,0.0
12610,45,2,1256.25,628.125,843.29
12612,13,1,704.0400000000001,704.0400000000001,0.0
12613,137,4,1462.52,365.63,1881.8600000000001
12614,217,1,315.6,315.6,0.0
12615,11,2,1211.3899999999999,605.6949999999999,1079.8
12616,34,2,713.3,356.65,0.0
12619,17,7,2760.38,394.34000000000003,880.86
12620,20,2,939.3199999999999,469.65999999999997,400.09
12621,20,17,11260.64,662.3905882352941,2429.03
12622,171,1,180.1,180.1,0.0
12623,215,1,305.1,305.1,0.0
12624,45,2,641.13,320.565,0.0
12625,151,2,2683.82,1341.91,0.0
12626,3,7,6151.55,878.7928571428572,468.93
12627,3,6,3911.55,651.9250000000001,566.98
12628,4,1,333.64,333.64,452.82
12633,69,3,1948.75,649.5833333333334,215.23000000000002
12635,29,2,1689.18,844.59,0.0
12637,6,8,6021.9,752.7375,0.0
12639,178,1,486.1,486.1,0.0
12640,21,1,764.59,764.59,409.99
12641,54,1,185.9,185.9,0.0
12642,47,1,366.45,366.45,646.81
12643,67,6,3344.64,557.4399999999999,0.0
12644,69,1,477.91,477.91,0.0
12645,49,3,1310.8600000000001,436.9533333333334,464.32
12647,17,11,3401.67,309.2427272727273,321.15
12648,94,1,318.05,318.05,0.0
12649,46,3,623.51,207.83666666666667,0.0
12651,274,1,114.0,114.0,0.0
12652,270,1,919.98,919.98,0.0
12653,88,2,2209.85,1104.925,0.0
12654,137,3,337.75,112.58333333333333,264.23
12656,12,4,3465.42,866.355,585.75
12657,18,1,618.44,618.44,1024.74
12662,46,7,2653.66,379.0942857142857,1196.1200000000001
12664,5,5,2587.08,517.4159999999999,2294.8
12665,264,1,63.0,63.0,0.0
12668,198,3,2924.4700000000003,974.8233333333334,882.6800000000001
12669,90,3,2744.0299999999997,914.6766666666666,0.0
12670,38,3,1634.47,544.8233333333334,1361.58
12672,269,1,225.89999999999998,225.89999999999998,0.0
12673,266,1,220.9,220.9,389.62
12674,31,3,1402.0,467.3333333333333,568.6
12676,10,5,1149.73,229.946,181.66
12678,18,10,8680.5,868.05,8947.96
12679,27,3,1000.7,333.56666666666666,112.32000000000001
12680,12,3,613.36,204.45333333333335,249.45
12681,17,16,10657.12,666.07,3130.42
12682,0,23,8912.61,387.5047826086957,3375.61
12683,32,12,6622.19,551.8491666666666,1854.3799999999999
12684,3,5,1627.24,325.448,656.39
12685,14,3,1829.02,609.6733333333333,1034.06
12686,311,1,89.14,89.14,0.0
12688,53,1,4873.8099999999995,4873.8099999999995,0.0
12689,67,1,511.03,511.03,736.5799999999999
12690,145,1,389.01,389.01,0.0
12691,84,4,556.3,139.075,479.5
12693,66,4,855.91,213.9775,0.0
12694,9,2,869.67,434.835,0.0
12695,5,3,497.0,165.66666666666666,85.1
12697,70,2,733.91,366.955,223.68
12700,5,3,3625.24,1208.4133333333332,1314.75
12701,19,2,797.71,398.855,0.0
12703,10,1,283.55,283.55,0.0
12704,17,4,1346.47,336.6175,994.37
12705,16,5,5005.14,1001.028,1863.15
12707,231,1,603.42,603.42,0.0
12708,11,8,2399.14,299.8925,313.77
12709,10,12,8055.62,671.3016666666666,1680.9
12710,36,3,1149.02,383.00666666666666,0.0
12712,46,11,3913.08,355.73454545454547,483.05
12714,46,4,3389.7,847.425,1319.16
12715,45,1,353.86,353.86,0.0
12716,72,1,677.9,677.9,375.59000000000003
12717,90,2,1030.98,515.49,0.0
12718,10,1,238.25,238.25,0.0
12719,4,1,283.6,283.6,361.35
12720,5,19,4314.1,227.05789473684212,1467.63
12721,19,5,2041.81,408.36199999999997,614.3199999999999
12722,24,4,997.63,249.4075,0.0
12723,4,2,299.40999999999997,149.70499999999998,425.66
12724,21,3,823.1700000000001,274.39000000000004,208.24
12725,310,1,427.8,427.8,0.0
12726,25,6,1824.6399999999999,304.1066666666666,784.46
12727,34,6,3337.7,556.2833333333333,643.0
12728,10,4,836.33,209.0825,0.0
12729,53,1,453.01,453.01,0.0
12731,10,10,14894.65,1489.465,4001.2599999999998
12732,119,1,236.26000000000002,236.26000000000002,0.0
12733,173,1,383.95,383.95,0.0
12734,292,1,110.39999999999999,110.39999999999999,0.0
12735,254,2,779.5699999999999,389.78499999999997,0.0
12736,272,1,234.0,234.0,0.0
12738,311,1,155.35,155.35,0.0
12739,17,2,1013.04,506.52,0.0
12740,3,1,427.6,427.6,0.0
12743,73,2,546.43,273.215,0.0
12744,84,5,14211.970000000001,2842.3940000000002,7067.32
12747,6,9,3444.7799999999997,382.75333333333333,751.23
12748,1,145,20307.29,140.05027586206896,13412.44
12749,70,3,2755.23,918.41,1335.65
12750,68,1,275.88,275.88,0.0
12752,20,1,4366.78,4366.78,0.0
12753,75,5,16620.91,3324.182,4808.48
12754,175,3,3010.74,1003.5799999999999,0.0
12755,220,2,3811.95,1905.975,0.0
12756,26,1,112.07999999999998,112.07999999999998,0.0
12757,3,9,7011.85,779.0944444444444,845.25
12758,56,2,2791.59,1395.795,0.0
12759,111,2,1082.52,541.26,448.92
12763,77,2,494.08,247.04,0.0
12764,256,1,1693.88,1693.88,0.0
12766,88,5,4952.1900000000005,990.4380000000001,2037.44
12769,178,1,1143.6,1143.6,0.0
12770,150,1,1351.45,1351.45,0.0
12775,129,4,1164.68,291.17,221.36
12778,2,5,663.99,132.798,158.24
12779,129,7,2999.41,428.4871428571428,981.95
12781,3,2,826.74,413.37,0.0
12782,89,4,2078.67,519.6675,252.25
12783,14,1,339.02,339.02,1886.8899999999999
12785,303,1,311.95,311.95,0.0
12787,31,2,344.65999999999997,172.32999999999998,119.0
12789,4,1,91.85,91.85,0.0
12790,131,1,324.92,324.92,0.0
12791,313,1,192.60000000000002,192.60000000000002,0.0
12792,196,1,400.53999999999996,400.53999999999996,0.0
12793,274,2,545.48,272.74,0.0
12794,38,1,317.0,317.0,543.41
12797,305,1,254.03,254.03,0.0
12798,110,1,1607.04,1607.04,5370.0
12802,126,1,427.58,427.58,0.0
12808,124,2,281.35,140.675,202.3
12809,117,1,489.31,489.31,0.0
12811,200,3,514.85,171.61666666666667,0.0
12814,41,1,125.92,125.92,0.0
12815,87,2,1063.46,531.73,0.0
12816,35,2,572.2,286.1,0.0
12817,220,1,166.04,166.04,0.0
12818,201,1,1542.08,1542.08,0.0
12820,14,2,388.23,194.115,554.11
12821,153,1,92.72,92.72,0.0
12822,10,2,948.88,474.44,0.0
12823,14,5,1759.5,351.9,0.0
12826,11,5,1052.6200000000001,210.52400000000003,422.1
12828,5,4,661.3100000000001,165.32750000000001,357.40000000000003
12829,276,2,293.0,146.5,0.0
12830,30,5,6414.32,1282.864,400.32000000000005
12831,201,1,215.05,215.05,0.0
12832,37,1,267.8,267.8,115.23
12833,84,1,417.38,417.38,0.0
12834,222,1,312.38,312.38,0.0
12836,76,3,2112.53,704.1766666666667,500.33000000000004
12837,112,1,134.1,134.1,0.0
12838,313,1,390.79,390.79,292.34000000000003
12839,11,10,3376.05,337.605,2215.37
12840,83,4,2726.77,681.6925,0.0
12841,5,19,3268.16,172.00842105263158,754.19
12842,9,2,1118.99,559.495,0.0
12843,5,8,1702.26,212.7825,0.0
12844,69,1,174.88,174.88,151.08
12845,206,4,354.09,88.5225,0.0
12849,208,1,704.5,704.5,346.39
12851,36,1,135.18,135.18,0.0
12852,234,1,311.55,311.55,0.0
12853,74,6,1957.1000000000001,326.18333333333334,0.0
12854,18,3,1324.5,441.5,0.0
12855,312,1,38.1,38.1,0.0
12856,3,1,393.74,393.74,1786.19
12857,150,2,1106.4,553.2,0.0
12864,77,1,147.12,147.12,0.0
12865,63,1,981.38,981.38,586.85
12866,222,1,559.12,559.12,0.0
12867,35,6,3025.74,504.28999999999996,1011.08
12868,125,6,1607.0600000000002,267.84333333333336,0.0
12871,23,2,380.64,190.32,0.0
12872,266,2,599.97,299.985,0.0
12873,221,1,374.0,374.0,0.0
12875,82,2,343.2300000000001,171.61500000000004,0.0
12876,135,1,726.43,726.43,1491.59
12877,17,10,1160.3700000000001,116.037,375.4
